url;title;description;emails;phones;postal_codes;inns;ogrns
https://frenglishacademy.ru;Не опубликован;н/д;н/д;84699184121;"681928
866025
858238
872496
488621
859406
511293
260122";н/д;н/д
https://freniarus.ru;Freniarus - питомник кошек породы Мейн-Кун | Freniarus питомник кошек породы Мейн-Кун;н/д;freniaruscoon@mail.ru;"8(964)843-30-32
8(927)975-10-20";н/д;н/д;н/д
https://artistivanov.ru/contacts;Контакты;Контакты;infosite@artistivanov.ru;н/д;000000;н/д;н/д
https://frenic-ace.ru;Fuji-electric Frenic-Ace - Frenic-Ace;Преобразователи частоты Fuji-electric ;н/д;"81949086127
81949086119";н/д;н/д;н/д
https://frenic-aqua.ru;ПЧ Fuji-electric Frenic-AQUA - Frenic-AQUA;Преобразователи частоты Fuji-electric ;н/д;"81949218282
81949218273";н/д;н/д;н/д
https://frenic-hvac.ru;ПЧ Fuji-electric Frenic-HVAC - Frenic-HVAC;Преобразователи частоты Fuji-electric ;н/д;"81949387568
81949387554";н/д;н/д;н/д
https://frenic-lift.ru;Fuji Electric Frenic Lift LM1 LM2A - Fuji Electric Frenic Lift LM1S LM2A;Преобразователи частоты Fuji-Electric лифтовой серии Frenic-Lift LM1 и Frenic-Lift LM2A;info@frenic-lift.ru;"81949456633
81949456622";н/д;н/д;н/д
https://frenic-mini.ru;Преобразователи частоты Fuji-electric - Преобразователи частоты Fuji-Electric;Преобразователи частоты Fuji-electric ;н/д;"81949620807
81949620795";н/д;н/д;н/д
https://frenic-ace.ru/kontakty-frenic-ace.html;Контакты Frenic-Ace - Frenic-Ace;"Контакты ООО ""Альпарк""";info@frenic-ace.ru;"81949086112
81949086110";н/д;н/д;н/д
https://frenic.ru;Преобразователи частоты Fuji-electric - Преобразователи частоты Fuji-Electric;Преобразователи частоты Fuji-electric ;н/д;"81948975622
81948975594";н/д;н/д;н/д
https://frenkel.ru;Frenkel Studio - визуализация в ArchiCad, интерьерные и ландшафтные скетчи на заказ;Сотрудничество с частными лицами, архитекторами и дизайнерами интерьеров. Визуализация в ArchiCad. Интерьерные, архитектурные и ландшафтные скетчи: интерьер, экстерьер, ген-планы, скетч-планы (2D и 3D). Свой магазин мебели и оборудования для дома, дачи, отелей, фитнес-клубов.;н/д;н/д;"495057
493542
000000
303885
429783";1700611200;н/д
https://frenkbit.ru;Ты гей?;н/д;н/д;н/д;н/д;н/д;н/д
https://frenkelceramics.ru;Гончарная мастерская | Москва;Мастер-классы по гончарному кругу и ручной лепке;frenkel.ceramics@gmail.com;"81614702099
81614702100
81616436567
81616436578
81616436580
81616480246
81616714937
86530356566";"606957
787878
000000
100000
313708
738773
696969
829484
005941
808080
737373
774031
617212";1691831041;"1470209944682
1470210011265
1643656790068
1643657891303
1643658033455
1648024660944
1648024660953
1648024660959
1671493701935
1474283545813
1474283588899
1497456130776
1498486301712
1498486363994
1500384862912
1648034518625
1648034734070
1500384866000
1496239431201
1496239459190
1648066539430"
https://frenic-mini.ru/kontakty-fuji-electric-frenic-mini.html;Контакты Fuji-electric Frenic-mini - Преобразователи частоты Fuji-Electric;"Контакты ООО ""Альпарк""";info@frenic-mini.ru;"81949620788
81949620786";н/д;н/д;н/д
https://frenkit-pro.ru;Frenkit в Москве — специализированный маркетплейс;Вся продукция Frenkit на специализированном маркетплейсе по низким ценам! Характеристики, фото, максимальный ассортимент. Оперативная доставка в Москве!;moskva@frenkit-pro.ru;"80000000000
84951144444";"444045
440492
238903
243908
238951
248974
238042
245032
238801
234025
238022
251060
901748
810041
254041
810026
238075
810019
901245
810099
809005
810027
810032
810101
810002
810009
810043
818001
810095
811002
809016
810031
808007
810079
808008
260948
810004
809007
811007
810024
808001
811001
812012
808034
901289
950025
901261
901660
901755
900026
901217
901859
901100
901298
950822
930010
901722
901180
812007
810072
810001
808017
822008
808011
810096
810011
257043
238970
260003
243031
243006
260969
248056
248943
250001
230733
238010
235026
257072
234003
254911
940150
257056
844311
610702
457946
551738
567793
541599
710594
905783
428372
109817
105592
467241
790021
831425
913388
986055
797626
573708
535684
895881
561878
634193
866069
747821
859731
928979
940521
513489
845986
744727
549952
368637
449829
699982
699829
710279
795897
944215
943787
795285
753118
711134
700134
710768
753302
796385
944704
207727
207715
207725
207723
207716
207722
207714
207717
207726
207719
207728
260971
754903
243063
738096
243003
260002
248071
234024
246914
257021
260041
812001
257004
207724
207718
207720
207721
117519
605966
612329";н/д;н/д
https://frenkit-pro.ru/contacts;Контакты — Маркетплейс «Frenkit» в Москве;Контакты — Маркетплейс «Frenkit» в Москве;"moskva@frenkit-pro.ru
samara@frenkit-pro.ru
uhta@frenkit-pro.ru
borisoglebsk@frenkit-pro.ru
beloreck@frenkit-pro.ru
bugulma@frenkit-pro.ru
elista@frenkit-pro.ru
neftekamsk@frenkit-pro.ru
dmitrov@frenkit-pro.ru
vologda@frenkit-pro.ru
lysva@frenkit-pro.ru
velikie-luki@frenkit-pro.ru
himki@frenkit-pro.ru
klimovsk@frenkit-pro.ru
nazran@frenkit-pro.ru
vyborg@frenkit-pro.ru
pavlovo@frenkit-pro.ru
saransk@frenkit-pro.ru
pskov@frenkit-pro.ru
tobolsk@frenkit-pro.ru
kemerovo@frenkit-pro.ru
gelendzhik@frenkit-pro.ru
syzran@frenkit-pro.ru
ramenskoe@frenkit-pro.ru
stavropol@frenkit-pro.ru
artem@frenkit-pro.ru
kansk@frenkit-pro.ru
svobodnyy@frenkit-pro.ru
novoshahtinsk@frenkit-pro.ru
cherkessk@frenkit-pro.ru
derbent@frenkit-pro.ru
hanty-mansiysk@frenkit-pro.ru
korolev@frenkit-pro.ru
yaroslavl@frenkit-pro.ru
meleuz@frenkit-pro.ru
taganrog@frenkit-pro.ru
kostroma@frenkit-pro.ru
astrahan@frenkit-pro.ru
smolensk@frenkit-pro.ru
lesosibirsk@frenkit-pro.ru
mezhdurechensk@frenkit-pro.ru
perm@frenkit-pro.ru
elec@frenkit-pro.ru
ulan-ude@frenkit-pro.ru
mihaylovka@frenkit-pro.ru
troick@frenkit-pro.ru
lipeck@frenkit-pro.ru
kungur@frenkit-pro.ru
novoaltaysk@frenkit-pro.ru
bryansk@frenkit-pro.ru
lubercy@frenkit-pro.ru
pushkino@frenkit-pro.ru
labinsk@frenkit-pro.ru
chehov@frenkit-pro.ru
chapaevsk@frenkit-pro.ru
slavyansk-na-kubani@frenkit-pro.ru
buzuluk@frenkit-pro.ru
penza@frenkit-pro.ru
groznyy@frenkit-pro.ru
balashiha@frenkit-pro.ru
kolomna@frenkit-pro.ru
shhekino@frenkit-pro.ru
pavlovskiy-posad@frenkit-pro.ru
kstovo@frenkit-pro.ru
domodedovo@frenkit-pro.ru
orsk@frenkit-pro.ru
irkutsk@frenkit-pro.ru
velikiy-novgorod@frenkit-pro.ru
sochi@frenkit-pro.ru
novocherkassk@frenkit-pro.ru
podolsk@frenkit-pro.ru
gorno-altaysk@frenkit-pro.ru
vidnoe@frenkit-pro.ru
novosibirsk@frenkit-pro.ru
rostov-na-donu@frenkit-pro.ru
leninogorsk@frenkit-pro.ru
murmansk@frenkit-pro.ru
gus-hrustalnyy@frenkit-pro.ru
tula@frenkit-pro.ru
usole-sibirskoe@frenkit-pro.ru
chernogorsk@frenkit-pro.ru
kirovo-chepeck@frenkit-pro.ru
ekaterinburg@frenkit-pro.ru
kopeysk@frenkit-pro.ru
essentuki@frenkit-pro.ru
chistopol@frenkit-pro.ru
belebey@frenkit-pro.ru
sarapul@frenkit-pro.ru
zelenogorsk@frenkit-pro.ru
shuya@frenkit-pro.ru
tolyatti@frenkit-pro.ru
kaspiysk@frenkit-pro.ru
berdsk@frenkit-pro.ru
tulun@frenkit-pro.ru
arsenev@frenkit-pro.ru
vyshniy-volochek@frenkit-pro.ru
osinniki@frenkit-pro.ru
zarechnyy@frenkit-pro.ru
belgorod@frenkit-pro.ru
lobnya@frenkit-pro.ru
kamyshin@frenkit-pro.ru
nizhniy-tagil@frenkit-pro.ru
novyy-urengoy@frenkit-pro.ru
obninsk@frenkit-pro.ru
nevinnomyssk@frenkit-pro.ru
azov@frenkit-pro.ru
ryazan@frenkit-pro.ru
pyatigorsk@frenkit-pro.ru
tuapse@frenkit-pro.ru
serpuhov@frenkit-pro.ru
ivanteevka@frenkit-pro.ru
ivanovo@frenkit-pro.ru
solikamsk@frenkit-pro.ru
krasnokamensk@frenkit-pro.ru
revda@frenkit-pro.ru
novotroick@frenkit-pro.ru
kogalym@frenkit-pro.ru
zarinsk@frenkit-pro.ru
kirov@frenkit-pro.ru
verhnyaya-pyshma@frenkit-pro.ru
kaliningrad@frenkit-pro.ru
syktyvkar@frenkit-pro.ru
vyksa@frenkit-pro.ru
reutov@frenkit-pro.ru
neryungri@frenkit-pro.ru
vladimir@frenkit-pro.ru
omsk@frenkit-pro.ru
petrozavodsk@frenkit-pro.ru
kyzyl@frenkit-pro.ru
klincy@frenkit-pro.ru
shhelkovo@frenkit-pro.ru
volgograd@frenkit-pro.ru
staryy-oskol@frenkit-pro.ru
krasnokamsk@frenkit-pro.ru
kimry@frenkit-pro.ru
kineshma@frenkit-pro.ru
arhangelsk@frenkit-pro.ru
nizhnekamsk@frenkit-pro.ru
aleksandrov@frenkit-pro.ru
tyumen@frenkit-pro.ru
polevskoy@frenkit-pro.ru
dolgoprudnyy@frenkit-pro.ru
zelenograd@frenkit-pro.ru
belogorsk@frenkit-pro.ru
dubna@frenkit-pro.ru
kamensk-shahtinskiy@frenkit-pro.ru
rybinsk@frenkit-pro.ru
bor@frenkit-pro.ru
balakovo@frenkit-pro.ru
sergiev-posad@frenkit-pro.ru
fryazino@frenkit-pro.ru
belovo@frenkit-pro.ru
elektrostal@frenkit-pro.ru
komsomolsk-na-amure@frenkit-pro.ru
severodvinsk@frenkit-pro.ru
votkinsk@frenkit-pro.ru
gatchina@frenkit-pro.ru
gukovo@frenkit-pro.ru
krasnoyarsk@frenkit-pro.ru
ust-ilimsk@frenkit-pro.ru
rossosh@frenkit-pro.ru
maykop@frenkit-pro.ru
yuzhno-sahalinsk@frenkit-pro.ru
kiselevsk@frenkit-pro.ru
orehovo-zuevo@frenkit-pro.ru
noyabrsk@frenkit-pro.ru
chusovoy@frenkit-pro.ru
glazov@frenkit-pro.ru
sosnovyy-bor@frenkit-pro.ru
angarsk@frenkit-pro.ru
pervouralsk@frenkit-pro.ru
tihoreck@frenkit-pro.ru
salsk@frenkit-pro.ru
aleksin@frenkit-pro.ru
talnah@frenkit-pro.ru
abakan@frenkit-pro.ru
serov@frenkit-pro.ru
nyagan@frenkit-pro.ru
anzhero-sudzhensk@frenkit-pro.ru
anapa@frenkit-pro.ru
yakutsk@frenkit-pro.ru
liski@frenkit-pro.ru
mihaylovsk@frenkit-pro.ru
seversk@frenkit-pro.ru
tuymazy@frenkit-pro.ru
magnitogorsk@frenkit-pro.ru
nizhniy-novgorod@frenkit-pro.ru
tver@frenkit-pro.ru
kaluga@frenkit-pro.ru
borovichi@frenkit-pro.ru
ishimbay@frenkit-pro.ru
uzlovaya@frenkit-pro.ru
yarcevo@frenkit-pro.ru
verhnyaya-salda@frenkit-pro.ru
nazarovo@frenkit-pro.ru
krymsk@frenkit-pro.ru
odincovo@frenkit-pro.ru
klin@frenkit-pro.ru
balahna@frenkit-pro.ru
ishim@frenkit-pro.ru
arzamas@frenkit-pro.ru
voronezh@frenkit-pro.ru
chelyabinsk@frenkit-pro.ru
buynaksk@frenkit-pro.ru
sibay@frenkit-pro.ru
sterlitamak@frenkit-pro.ru
kamensk-uralskiy@frenkit-pro.ru
roslavl@frenkit-pro.ru
zelenodolsk@frenkit-pro.ru
minusinsk@frenkit-pro.ru
tihvin@frenkit-pro.ru
ozersk@frenkit-pro.ru
rubcovsk@frenkit-pro.ru
bataysk@frenkit-pro.ru
barnaul@frenkit-pro.ru
vladivostok@frenkit-pro.ru
chaykovskiy@frenkit-pro.ru
apatity@frenkit-pro.ru
kirishi@frenkit-pro.ru
novokuzneck@frenkit-pro.ru
volzhsk@frenkit-pro.ru
krasnoturinsk@frenkit-pro.ru
bratsk@frenkit-pro.ru
elabuga@frenkit-pro.ru
kazan@frenkit-pro.ru
tambov@frenkit-pro.ru
naro-fominsk@frenkit-pro.ru
dzerzhinskiy@frenkit-pro.ru
volsk@frenkit-pro.ru
sarov@frenkit-pro.ru
zheleznogorsk-krasnoyarskiy-kray@frenkit-pro.ru
orel@frenkit-pro.ru
zlatoust@frenkit-pro.ru
yurga@frenkit-pro.ru
almetevsk@frenkit-pro.ru
kropotkin@frenkit-pro.ru
kumertau@frenkit-pro.ru
mahachkala@frenkit-pro.ru
orenburg@frenkit-pro.ru
spassk-dalniy@frenkit-pro.ru
vorkuta@frenkit-pro.ru
salavat@frenkit-pro.ru
krasnogorsk@frenkit-pro.ru
novouralsk@frenkit-pro.ru
shadrinsk@frenkit-pro.ru
norilsk@frenkit-pro.ru
leninsk-kuzneckiy@frenkit-pro.ru
solnechnogorsk@frenkit-pro.ru
vladikavkaz@frenkit-pro.ru
lytkarino@frenkit-pro.ru
budennovsk@frenkit-pro.ru
voskresensk@frenkit-pro.ru
surgut@frenkit-pro.ru
blagoveshhensk@frenkit-pro.ru
murom@frenkit-pro.ru
ulyanovsk@frenkit-pro.ru
eysk@frenkit-pro.ru
zhukovskiy@frenkit-pro.ru
monchegorsk@frenkit-pro.ru
izhevsk@frenkit-pro.ru
magadan@frenkit-pro.ru
lesnoy@frenkit-pro.ru
severomorsk@frenkit-pro.ru
kovrov@frenkit-pro.ru
cherepovec@frenkit-pro.ru
kanash@frenkit-pro.ru
habarovsk@frenkit-pro.ru
nefteugansk@frenkit-pro.ru
tomsk@frenkit-pro.ru
krasnodar@frenkit-pro.ru
dimitrovgrad@frenkit-pro.ru
nizhnevartovsk@frenkit-pro.ru
volgodonsk@frenkit-pro.ru
prokopevsk@frenkit-pro.ru
naberezhnye-chelny@frenkit-pro.ru
nahodka@frenkit-pro.ru
mineralnye-vody@frenkit-pro.ru
noginsk@frenkit-pro.ru
cheboksary@frenkit-pro.ru
belorechensk@frenkit-pro.ru
shahty@frenkit-pro.ru
petropavlovsk-kamchatskiy@frenkit-pro.ru
cheremhovo@frenkit-pro.ru
novocheboksarsk@frenkit-pro.ru
kislovodsk@frenkit-pro.ru
egorevsk@frenkit-pro.ru
snezhinsk@frenkit-pro.ru
chita@frenkit-pro.ru
vyazma@frenkit-pro.ru
engels@frenkit-pro.ru
gubkin@frenkit-pro.ru
ussuriysk@frenkit-pro.ru
yoshkar-ola@frenkit-pro.ru
saratov@frenkit-pro.ru
michurinsk@frenkit-pro.ru
buguruslan@frenkit-pro.ru
birobidzhan@frenkit-pro.ru
livny@frenkit-pro.ru
novorossiysk@frenkit-pro.ru
miass@frenkit-pro.ru
zheleznogorsk-kurskaya-obl@frenkit-pro.ru
kursk@frenkit-pro.ru
asbest@frenkit-pro.ru
timashevsk@frenkit-pro.ru
stupino@frenkit-pro.ru
kingisepp@frenkit-pro.ru
balashov@frenkit-pro.ru
ufa@frenkit-pro.ru
sankt-peterburg@frenkit-pro.ru
kurgan@frenkit-pro.ru
biysk@frenkit-pro.ru
sayanogorsk@frenkit-pro.ru
kotlas@frenkit-pro.ru
hasavyurt@frenkit-pro.ru
mytishhi@frenkit-pro.ru
nalchik@frenkit-pro.ru
achinsk@frenkit-pro.ru
rzhev@frenkit-pro.ru
volzhskiy@frenkit-pro.ru
armavir@frenkit-pro.ru
kuzneck@frenkit-pro.ru
novokuybyshevsk@frenkit-pro.ru
iskitim@frenkit-pro.ru
berezniki@frenkit-pro.ru
georgievsk@frenkit-pro.ru
novomoskovsk@frenkit-pro.ru";84951144444;"444045
117519
833984
443101
169311
397160
453500
423231
358000
452680
141800
160009
618900
182115
141432
142180
386101
188800
606100
430009
180024
626150
650002
353460
446001
140105
355042
692770
663604
660028
346918
369000
368600
628007
141060
150000
453856
347930
156002
414040
214031
662543
652870
614025
399784
670045
403348
108841
398001
617472
658080
241023
140013
141207
352500
142300
446103
353560
461040
440000
364028
143912
140408
301241
142500
607657
142006
462419
664047
173016
354340
346400
142100
649002
142700
630004
344068
423250
183038
601501
300001
665458
655158
613044
620014
454012
357601
422980
452006
427960
663690
155900
445004
368300
633011
665268
692337
171161
652811
442963
308501
141733
403892
622015
629300
249034
357112
346787
390013
357538
352800
142200
141282
153037
618547
674673
623280
462360
628485
659100
610033
624096
236022
167000
607060
143965
678960
600005
644043
185014
667000
243140
141100
400137
309511
617060
171502
155800
163009
423578
601654
625048
623391
141720
124460
676856
141981
347809
152900
606440
413841
141301
141195
652600
144010
681013
164523
427441
188309
347871
660125
666673
396655
385000
693017
652700
142600
629807
618204
427628
188541
665821
623101
352120
347632
301360
655017
624993
628181
652470
353445
677000
397901
356244
636037
452756
455038
603022
170100
248031
174411
453215
301600
215805
624760
662200
353380
143007
141601
606403
627756
607220
394018
454901
368220
453830
453100
623430
216500
422549
662610
187553
456785
658201
346885
656058
690035
617762
184209
187110
654005
425009
624440
665709
423600
420080
392024
143302
140090
412906
607188
662978
302028
456228
652057
423457
352395
453303
367912
460019
692245
169915
453260
143402
624135
641876
663318
652523
141503
362048
140081
356800
140200
628404
675001
602267
432005
353680
140188
184511
426011
685000
624205
184606
601900
162610
429335
680003
628301
634021
350000
433508
628609
347371
653053
423821
692924
357202
142400
428020
352630
346500
683032
665407
429965
357700
140300
456770
672027
215119
413100
309183
692525
424038
410065
393761
461630
679016
303852
353907
456300
307179
305029
624269
352708
142800
188480
412302
450006
191040
640003
659321
655603
165300
368006
141006
360003
662161
172390
404102
352922
442532
446204
633203
618426
357820
301650
844311
610702
457946
551738
567793
541599
710594
905783
428372
109817
105592
467241
790021
831425
913388
986055
797626
573708
535684
895881
561878
634193
866069
747821
859731
928979
940521
513489
845986
744727
549952
368637
449829
699982
699829
710279
795897
944215
943787
795285
753118
711134
700134
710768
753302
796385
944704
088156
121497
832558
074492
410957
965105
767758
532855
272804
307693
244562
088242
516099
880357
814206
088816
559922
346846
958175
522836
363565
749585
217394
722259
216924
185636
289952
823454
256304
200673
399704
081247
563658
474611
155669
204639
591574
923144
996724
088989
327135
701767
231278
933788
755763
218633
289235
066305
040291
006342
866738
914358
884148
624935
933215
898857
217482
918998
786644
055358
359924
081749
769103
531119
186134
072888
264028
965164
474071
610844
834481
223239
305273
486265
577939
605824
997135
423644
929579
412557
315886
275483
692115
852724
003462
728519
638107
459478
153262
687822
955102
118257
263696
788486
015971
189631
236635
289425
800483
084059
518219
675608
776862
208512
151798
785108
369183
480909
230225
305849
274872
242974
531498
923161
418924
092952
407497
548384
430845
912332
962211
710162
542966
936662
028723
718947
260149
443952
604134
071262
970472
664254
616102
193544
644761
751301
822899
532564
598948
829103
611574
115697
038538
645749
369132
103768
815221
475519
577077
102097
380507
853676
633815
888422
080779
764999
578892
558702
261057
159387
558836
584174
601527
320349
814966
569014
552504
439796
008354
449128
783941
017172
873768
631279
082833
593277
116902
936061
638287
427193
104702
605966
612329
709883
630315
034207
051219
092229
100852
906902
975254
985311
005534
696397
699834
037416
102358
916291
796856
298973
482761
264069
925685
701172
621292
603286
980655
500103
718057
698601
320688
887256
752288
713704
662847
387105
149205
373458
992467
774922
436185
715186
247381
752849
997218
917036
518574
745062
891262
307073
757136
348752
860536
442142
601758
524224
790346
620398
700321
390465
559876
148849
163534
446006
933302
200044
008797
551522
908617
157015
735851
270612
855711
052313
359405
797452
010542
124617
339821
953906
304599
432412
447391
784633
004732
554221
777733
535197
944174
035892
122892
892035
038137
904378
050918
667017
987776
577714
105987
611207
742371
900361
636023
000648
987395
807997
198062
808843
269391
677702
139694
085877
901143
881781
522062
931275
909819
134567
989464
469312
103592
478234
518536
442396
721152
611129
607517
148332
019797
080402
321793
728971
029077
506172
977805
029819
129553
909578
593914
708519
981549
378671
987292
308975
944415
846726
247911
586655
912758
037761
449473
158735
978975
726398
048039
559943
047845
406819
011379
987894
935414
279968
672702
729345
332267
606038
500651
481265
107528
839798
394285
191933
666188
327392
204747
120742
825511
664219
720346
900372
631246
925768
387893
822285
954738
530208
855189
666203
691757
544817
643117
683883
753732
205312
533321
736402
682354
342446
917501
102622
237636
738843
385852
568178
042394
444727
126045
780363
185363
757095
301833
015339
751528
093397
821173
443156
732012
751462
383776
848898
631468
391575
039547
352929
923771
514621
223732
055204
970723
667844
148297
915911
709393
274017
899379
556231
431986
811143
765378
503963
228919
287508
820254
599932
062025
516926
926145
350354
346739
818882
250088
621114
082672
183003
358927
698993
985994
179024
643593
031102
156302
681456
319223
365248
277526
530883
270706
577236
359653
712791
082082
604595
939832
227777
871562
824531
557059
653566
879134
421757
303306
365094
896293
128154
477786
515757
395835
606099
098663
979611
484844
974424
039515
217673
528674
929488
185389
514055
857587
380962
724895
853779
778446
852576
280965
107564
871814
759784
527403
394588
663122
067459
483949
116724
908284
377946
072047
504957
044433
301828
214578
118438
502564
504358
279594
802049
929998
627921
971105
579407
492316
892386
438373
655438
933513
789148
412154
762929
109806
046569
344323
348881
184553
762129
454207
013097
611167
078749
898235
613004
369673
156045
548899
956373
736577
360613
927563
281623
426866
173818
512253
402879
110676
641958
236809
580423
244538
478495
480831
332514
270006
775367
776705
096747
118319
582331
655253
632541
856467
392773
474723
146795
290896
010999
207727
207715
207725
207723
207716
207722
207714
207717
207726
207719
207728
207724
207718
207720
207721";н/д;н/д
https://teremvrn.ru;Терем - Интернет магазин дверей в Воронеже;Интернет магазин дверей и дверной фурнитуры в Воронеже;н/д;н/д;"269531
271484
730469
728516
988281
011719
388348
278986
657986
416016";н/д;н/д
https://teremvshira.ru;Озеро Шира | Усадьба семейного отдыха «ТеремЪ» | Цены 2021, фотографии, отзывы.;"Усадьба ""ТеремЪ"" на озере Шира. У нас только тихий, семейный отдых. Благоустроенные номера, полноценная детская площадка, бесплатная парковка на территории. До озера всего 500 метров. Ежедневная анимация и мастер-классы для детей.";teremvshira@mail.ru;+79232125335;"961923
916626
933762
916748
692983
692738";1578380008;н/д
